YEAR,MONTH,MONTH.END,Russia,St._Petersburg,Leningrad_reg.,Karelia,Vologda,Novgorod,Pskov
2006,январь,2006-01-31,209058,6696,2978,1122,1982,1376,1717
2006,февраль,2006-02-28,181608,5723,2573,968,1772,1268,1466
2006,март,2006-03-31,195086,6338,2858,1102,1977,1312,1652
2006,апрель,2006-04-30,172981,5618,2484,962,1808,1248,1384
2006,май,2006-05-31,193808,6223,2827,1095,1945,1268,1439
2006,июнь,2006-06-30,178184,5930,2700,971,1841,1178,1443
2006,июль,2006-07-31,167403,5453,2444,852,1657,1055,1268
2006,август,2006-08-31,176827,5415,2548,942,1673,1062,1244
2006,сентябрь,2006-09-30,164593,5269,2474,929,1586,1033,1227
2006,октябрь,2006-10-31,182237,6140.99,2683,1018,1654,1141,1316
2006,ноябрь,2006-11-30,173918,5784,2586,886,1601,1214,1346
2006,декабрь,2006-12-31,170039,5456,2435,864,1600,1072,1203
2007,январь,2007-01-31,190699,6247,2759,1032,1789,1282,1434
2007,февраль,2007-02-28,162946,5416,2345,878,1593,1121,1213
2007,март,2007-03-31,184620,6055,2488,933,1711,1110,1291
2007,апрель,2007-04-30,167941,5395,2308,843,1510,1065,1217
2007,май,2007-05-31,188375,5677,2686,1027,1802,1146,1349
2007,июнь,2007-06-30,165585,5160,2344,883,1543,1018,1097
2007,июль,2007-07-31,169697,5340.99,2625,947,1573,1059,1145
2007,август,2007-08-31,172482,5710,2385,899,1519,1009,1165
2007,сентябрь,2007-09-30,154649,5465,2371,833,1527,1000,1149
2007,октябрь,2007-10-31,182071,5908,2586,1026,1674,1211,1238
2007,ноябрь,2007-11-30,171487,5531,2515,865,1686,1129,1261
2007,декабрь,2007-12-31,169516,5664,2339,833,1605,1034,1267
2008,январь,2008-01-31,200476,6087,2865,1065,1843,1289,1495
2008,февраль,2008-02-29,167748,5300,2181,886,1590,1102,1254
2008,март,2008-03-31,178059,5777,2474,931,1667,1136,1290
2008,апрель,2008-04-30,178907,5812,2500,940,1691,1125,1319
2008,май,2008-05-31,177615,5787,2458,978,1808,1110,1299
2008,июнь,2008-06-30,166309,5240,2394,891,1625,1141,1192
2008,июль,2008-07-31,176632,5384,2545,937,1640,1112,1214
2008,август,2008-08-31,158095,5098.99,2234,880,1608,1036,1099
2008,сентябрь,2008-09-30,169417,5793,2568,982,1684,1149,1235
2008,октябрь,2008-10-31,175999,5827,2552,930,1675,1114,1296
2008,ноябрь,2008-11-30,154977,4880,2141,817,1428,1017,1181
2008,декабрь,2008-12-31,176728,5865,2491,934,1709,1243,1345
2009,январь,2009-01-31,185479,5793.99,2567,969,1844,1187,1296
2009,февраль,2009-02-28,157744,5045.99,2198,753,1457,977,1152
2009,март,2009-03-31,183148,5827,2452,1009,1701,1155,1279
2009,апрель,2009-04-30,169845,5413,2408,857,1718,1121,1227
2009,май,2009-05-31,163681,5160,2233,905,1606,1049,1150
2009,июнь,2009-06-30,169169,5317,2485,910,1721,1115,1224
2009,июль,2009-07-31,167546,5077.99,2414,854,1638,1080,1144
2009,август,2009-08-31,150689,5165,2186,786,1538,974,1086
2009,сентябрь,2009-09-30,159980,5214,2139,877,1538,1055,1101
2009,октябрь,2009-10-31,166219,5685,2219,884,1654,1167,1229
2009,ноябрь,2009-11-30,161064,5434,2234,892,1597,999,1239
2009,декабрь,2009-12-31,179026,5763,2265,911,1721,1280,1369
2010,январь,2010-01-31,176316,5755.99,2371,966,1752,1130,1348
2010,февраль,2010-02-28,160701,5168,2220,806,1586,1090,1207
2010,март,2010-03-31,178621,5739,2404,954,1809,1140,1309
2010,апрель,2010-04-30,163701,5133,2202,850,1632,999,1168
2010,май,2010-05-31,162610,5045.99,2151,848,1734,1035,1148
2010,июнь,2010-06-30,169039,5145,2252,837,1644,1013,1161
2010,июль,2010-07-31,182020,6611,2518,961,1927,1185,1225
2010,август,2010-08-31,191951,5345.99,2245,847,1642,1016,1097
2010,сентябрь,2010-09-30,159549,5372.99,2183,815,1572,1016,1202
2010,октябрь,2010-10-31,159120,5409,2142,818,1606,1031,1083
2010,ноябрь,2010-11-30,159247,5176,2175,854,1524,962,1081
2010,декабрь,2010-12-31,168088,5570,2231,915,1766,1144,1295
2011,январь,2011-01-31,170508,5374,2275,901,1697,1084,1202
2011,февраль,2011-02-28,155042,4985,2054,731,1569,915,1151
2011,март,2011-03-31,177662,5530,2283,854,1642,1045,1217
2011,апрель,2011-04-30,155453,5035.99,1977,718,1522,1021,1076
2011,май,2011-05-31,165297,5020.99,2156,841,1671,959,1090
2011,июнь,2011-06-30,157437,4980,2171,807,1633,917,1041
2011,июль,2011-07-31,155997,4964,2079,746,1516,905,939
2011,август,2011-08-31,162424,5097,2149,789,1510,928,1049
2011,сентябрь,2011-09-30,153898,5199,2108,773,1536,1012,1024
2011,октябрь,2011-10-31,156447,5178,2118,788,1480,942,1062
2011,ноябрь,2011-11-30,158330,4929,2047,754,1533,930,1099
