"TIME","CONFIRMED","RECOVERED","DEATHS","ACTIVE"
2020-01-31 15:38:00,0,0,0,0
2020-02-01 12:00:00,0,0,0,0
2020-02-02 12:00:00,0,0,0,0
2020-02-03 12:00:00,0,0,0,0
2020-02-04 12:00:00,0,0,0,0
2020-02-05 12:00:00,0,0,0,0
2020-02-06 12:00:00,0,0,0,0
2020-02-07 12:00:00,0,0,0,0
2020-02-08 12:00:00,0,0,0,0
2020-02-09 12:00:00,0,0,0,0
2020-02-10 12:00:00,0,0,0,0
2020-02-11 15:20:00,0,0,0,0
2020-02-12 07:18:00,0,0,0,0
2020-02-13 12:00:00,0,0,0,0
2020-02-14 12:00:00,0,0,0,0
2020-02-15 12:00:00,0,0,0,0
2020-02-16 12:00:00,0,0,0,0
2020-02-17 12:56:00,0,0,0,0
2020-02-18 12:00:00,0,0,0,0
2020-02-19 12:00:00,0,0,0,0
2020-02-20 12:00:00,0,0,0,0
2020-02-21 12:00:00,0,0,0,0
2020-02-22 12:00:00,0,0,0,0
2020-02-23 12:00:00,0,0,0,0
2020-02-24 12:00:00,0,0,0,0
2020-02-25 12:00:00,0,0,0,0
2020-02-26 17:00:00,0,0,0,0
2020-02-27 12:00:00,0,0,0,0
2020-02-28 12:00:00,0,0,0,0
2020-02-29 12:00:00,0,0,0,0
2020-03-01 12:00:00,0,0,0,0
2020-03-02 22:29:00,0,0,0,0
2020-03-03 12:00:00,0,0,0,0
2020-03-04 12:00:00,0,0,0,0
2020-03-05 11:26:00,1,0,0,1
2020-03-06 19:00:00,0,0,0,1
2020-03-07 19:05:00,1,0,0,2
2020-03-08 16:00:00,0,0,0,2
2020-03-09 14:59:00,0,0,0,2
2020-03-10 12:00:00,0,0,0,2
2020-03-11 20:20:00,0,0,0,2
2020-03-12 19:27:00,0,0,0,2
2020-03-13 16:12:00,3,0,0,5
2020-03-14 18:07:00,1,0,0,6
2020-03-15 16:42:00,0,0,0,6
2020-03-16 15:45:00,3,2,0,7
2020-03-17 16:21:00,0,0,0,7
2020-03-18 14:31:00,0,0,0,7
2020-03-19 16:01:00,1,0,0,8
2020-03-20 16:00:00,4,0,0,12
2020-03-21 16:42:00,2,0,0,14
2020-03-22 16:11:00,0,0,0,14
2020-03-23 09:11:00,0,0,0,14
2020-03-24 14:19:00,5,0,0,19
2020-03-25 11:00:00,0,0,0,19
2020-03-26 11:00:00,5,3,0,21
2020-03-27 11:30:00,0,0,0,21
2020-03-28 12:20:00,11,0,0,32
2020-03-29 11:20:00,5,0,1,36
2020-03-30 12:00:00,8,0,0,44
2020-03-31 12:20:00,48,2,1,89
2020-04-01 11:15:00,27,0,0,116
2020-04-02 11:20:00,22,0,0,138
2020-04-03 10:45:00,9,0,0,147
2020-04-04 11:30:00,15,0,0,162
