REGION,START.DATE,END.DATE,OLFACTION_LOSS,COUNT.OLFACTION_LOSS,SHARE.OLFACTION_LOSS,SATURATION,COUNT.SATURATION,SHARE.SATURATION
"St. Petersburg",07.10.2019,13.10.2019,"пропало обоняние",78,0.000000638747,"сатурация",NA,NA
"St. Petersburg",14.10.2019,20.10.2019,"пропало обоняние",90,0.000000721301,"сатурация",230,0.000001843325
"St. Petersburg",21.10.2019,27.10.2019,"пропало обоняние",58,0.000000462574,"сатурация",261,0.000002081585
"St. Petersburg",28.10.2019,03.11.2019,"пропало обоняние",80,0.000000672196,"сатурация",496,0.000004167614
"St. Petersburg",04.11.2019,10.11.2019,"пропало обоняние",67,0.000000546555,"сатурация",791,0.000006452612
"St. Petersburg",11.11.2019,17.11.2019,"пропало обоняние",86,0.000000668274,"сатурация",427,0.000003318056
"St. Petersburg",18.11.2019,24.11.2019,"пропало обоняние",67,0.000000509911,"сатурация",256,0.000001948318
"St. Petersburg",25.11.2019,01.12.2019,"пропало обоняние",66,0.000000499607,"сатурация",297,0.00000224823
"St. Petersburg",02.12.2019,08.12.2019,"пропало обоняние",79,0.000000606839,"сатурация",308,0.000002365903
"St. Petersburg",09.12.2019,15.12.2019,"пропало обоняние",117,0.000000904865,"сатурация",316,0.000002443909
"St. Petersburg",16.12.2019,22.12.2019,"пропало обоняние",70,0.000000538649,"сатурация",327,0.000002516261
"St. Petersburg",23.12.2019,29.12.2019,"пропало обоняние",77,0.00000064881,"сатурация",236,0.00000198856
"St. Petersburg",30.12.2019,05.01.2020,"пропало обоняние",90,0.000000911328,"сатурация",184,0.00000186316
"St. Petersburg",06.01.2020,12.01.2020,"пропало обоняние",98,0.000000829166,"сатурация",239,0.000002022149
"St. Petersburg",13.01.2020,19.01.2020,"пропало обоняние",101,0.000000744026,"сатурация",345,0.000002541473
"St. Petersburg",20.01.2020,26.01.2020,"пропало обоняние",89,0.000000664807,"сатурация",337,0.000002517301
"St. Petersburg",27.01.2020,02.02.2020,"пропало обоняние",101,0.000000763949,"сатурация",265,0.000002004421
"St. Petersburg",03.02.2020,09.02.2020,"пропало обоняние",104,0.000000768018,"сатурация",315,0.000002326207
"St. Petersburg",10.02.2020,16.02.2020,"пропало обоняние",145,0.000001036023,"сатурация",312,0.000002229235
"St. Petersburg",17.02.2020,23.02.2020,"пропало обоняние",94,0.000000715067,"сатурация",324,0.000002464698
"St. Petersburg",24.02.2020,01.03.2020,"пропало обоняние",118,0.000000907056,"сатурация",308,0.000002367569
"St. Petersburg",02.03.2020,08.03.2020,"пропало обоняние",101,0.000000787608,"сатурация",317,0.000002471997
"St. Petersburg",09.03.2020,15.03.2020,"пропало обоняние",148,0.000001116328,"сатурация",363,0.00000273802
"St. Petersburg",16.03.2020,22.03.2020,"пропало обоняние",133,0.000001009149,"сатурация",965,0.000007322018
"St. Petersburg",23.03.2020,29.03.2020,"пропало обоняние",220,0.000001741538,"сатурация",1755,0.000013892726
"St. Petersburg",30.03.2020,05.04.2020,"пропало обоняние",329,0.000002538649,"сатурация",1192,0.000009197778
"St. Petersburg",06.04.2020,12.04.2020,"пропало обоняние",468,0.000003122538,"сатурация",1665,0.000011109029
"St. Petersburg",13.04.2020,19.04.2020,"пропало обоняние",578,0.000003792769,"сатурация",2910,0.000019095084
"St. Petersburg",20.04.2020,26.04.2020,"пропало обоняние",1025,0.00000678765,"сатурация",2292,0.000015177847
"St. Petersburg",27.04.2020,03.05.2020,"пропало обоняние",2068,0.000014576027,"сатурация",5552,0.000039132545
"St. Petersburg",04.05.2020,10.05.2020,"пропало обоняние",3595,0.000027614188,"сатурация",4068,0.000031247431
"St. Petersburg",11.05.2020,17.05.2020,"пропало обоняние",3982,0.000027791398,"сатурация",4861,0.000033926164
"St. Petersburg",18.05.2020,24.05.2020,"пропало обоняние",4902,0.000035647904,"сатурация",4567,0.000033211746
"St. Petersburg",25.05.2020,31.05.2020,"пропало обоняние",5762,0.000046417901,"сатурация",4208,0.000033899897
"St. Petersburg",01.06.2020,07.06.2020,"пропало обоняние",5981,0.000047034251,"сатурация",4022,0.000031629362
"St. Petersburg",08.06.2020,14.06.2020,"пропало обоняние",5225,0.000044717195,"сатурация",3411,0.000029193060
"St. Petersburg",15.06.2020,21.06.2020,"пропало обоняние",3386,0.000028549132,"сатурация",3384,0.000028533068
"St. Petersburg",22.06.2020,28.06.2020,"пропало обоняние",2039,0.00001795454,"сатурация",2394,0.000021080773
"St. Petersburg",29.06.2020,05.07.2020,"пропало обоняние",1512,0.000012802985,"сатурация",1921,0.000016266275
"St. Petersburg",06.07.2020,12.07.2020,"пропало обоняние",1054,0.000009280801,"сатурация",1867,0.000016439545
"St. Petersburg",13.07.2020,19.07.2020,"пропало обоняние",941,0.000008560503,"сатурация",1658,0.000015083232
"St. Petersburg",20.07.2020,26.07.2020,"пропало обоняние",935,0.000008333474,"сатурация",1296,0.000011551002
"St. Petersburg",27.07.2020,02.08.2020,"пропало обоняние",919,0.000007990442,"сатурация",1214,0.000010555388
"St. Petersburg",03.08.2020,09.08.2020,"пропало обоняние",1119,0.000010076708,"сатурация",1094,0.000009851580
"St. Petersburg",10.08.2020,16.08.2020,"пропало обоняние",1243,0.000011057704,"сатурация",1110,0.000009874538
"St. Petersburg",17.08.2020,23.08.2020,"пропало обоняние",1309,0.000011405808,"сатурация",1036,0.000009027056
"St. Petersburg",24.08.2020,30.08.2020,"пропало обоняние",1273,0.000010592133,"сатурация",1244,0.000010350835
"St. Petersburg",31.08.2020,06.09.2020,"пропало обоняние",1426,0.000011678259,"сатурация",1125,0.000009213213
"St. Petersburg",07.09.2020,13.09.2020,"пропало обоняние",1943,0.000014736248,"сатурация",1475,0.000011186812
"St. Petersburg",14.09.2020,20.09.2020,"пропало обоняние",2259,0.000016738768,"сатурация",1760,0.000013041278
"St. Petersburg",21.09.2020,27.09.2020,"пропало обоняние",2646,0.000019459203,"сатурация",1906,0.000014017107
"St. Petersburg",28.09.2020,04.10.2020,"пропало обоняние",2984,0.000021716858,"сатурация",2691,0.000019584983
"St. Petersburg",05.10.2020,11.10.2020,"пропало обоняние",3693,0.000026012782,"сатурация",4239,0.000029914648
"St. Petersburg",12.10.2020,18.10.2020,"пропало обоняние",4620,0.000031802719,"сатурация",4769,0.000032878713
"St. Petersburg",19.10.2020,25.10.2020,"пропало обоняние",6254,0.000042578294,"сатурация",6367,0.000043347637
"St. Petersburg",26.10.2020,01.11.2020,"пропало обоняние",8840,0.000060643312,"сатурация",11235,0.000077188786
"St. Petersburg",02.11.2020,08.11.2020,"пропало обоняние",9382,0.000064252643,"сатурация",14406,0.000098659516
"St. Petersburg",09.11.2020,15.11.2020,"пропало обоняние",9229,0.000059102285,"сатурация",13609,0.000087151695
"St. Petersburg",16.11.2020,22.11.2020,"пропало обоняние",8888,0.000055807110,"сатурация",12343,0.000077500806
"St. Petersburg",23.11.2020,29.11.2020,"пропало обоняние",10267,0.000062649430,"сатурация",13224,0.000080693101
"St. Petersburg",30.11.2020,06.12.2020,"пропало обоняние",10850,0.000069737246,"сатурация",13625,0.000087573270
"St. Petersburg",07.12.2020,13.12.2020,"пропало обоняние",10608,0.000069697181,"сатурация",13391,0.000087982178
"St. Petersburg",14.12.2020,20.12.2020,"пропало обоняние",10604,0.000069337747,"сатурация",13961,0.000091288597
"St. Petersburg",21.12.2020,27.12.2020,"пропало обоняние",9711,0.000068034377,"сатурация",14065,0.000098538102
"St. Petersburg",28.12.2020,03.01.2021,"пропало обоняние",7148,0.000061273696,"сатурация",11291,0.000096788094
"St. Petersburg",04.01.2021,10.01.2021,"пропало обоняние",6373,0.000051057517,"сатурация",10945,0.000087686258
